Mod:Item:MetaData, Localized Name
Mekanism:ReinforcedPlasticBlock:15, §fWhite Reinforced Plastic Block
Mekanism:RoadPlasticBlock:0, §8Black Plastic Road
Mekanism:RoadPlasticBlock:1, §cRed Plastic Road
Mekanism:RoadPlasticBlock:2, §2Green Plastic Road
Mekanism:RoadPlasticBlock:3, §6Brown Plastic Road
Mekanism:RoadPlasticBlock:4, §1Blue Plastic Road
Mekanism:RoadPlasticBlock:5, §5Purple Plastic Road
Mekanism:RoadPlasticBlock:6, §3Cyan Plastic Road
Mekanism:RoadPlasticBlock:7, §7Light Grey Plastic Road
Mekanism:RoadPlasticBlock:8, §8Grey Plastic Road
Mekanism:RoadPlasticBlock:9, §dPink Plastic Road
Mekanism:RoadPlasticBlock:10, §aLime Plastic Road
Mekanism:RoadPlasticBlock:11, §eYellow Plastic Road
Mekanism:RoadPlasticBlock:12, §9Light Blue Plastic Road
Mekanism:RoadPlasticBlock:13, §dMagenta Plastic Road
Mekanism:RoadPlasticBlock:14, §6Orange Plastic Road
Mekanism:RoadPlasticBlock:15, §fWhite Plastic Road
Mekanism:PlasticFence:0, §8Black Plastic Barrier
Mekanism:PlasticFence:1, §cRed Plastic Barrier
Mekanism:PlasticFence:2, §2Green Plastic Barrier
Mekanism:PlasticFence:3, §6Brown Plastic Barrier
Mekanism:PlasticFence:4, §1Blue Plastic Barrier
Mekanism:PlasticFence:5, §5Purple Plastic Barrier
Mekanism:PlasticFence:6, §3Cyan Plastic Barrier
Mekanism:PlasticFence:7, §7Light Grey Plastic Barrier
Mekanism:PlasticFence:8, §8Grey Plastic Barrier
Mekanism:PlasticFence:9, §dPink Plastic Barrier
Mekanism:PlasticFence:10, §aLime Plastic Barrier
Mekanism:PlasticFence:11, §eYellow Plastic Barrier
Mekanism:PlasticFence:12, §9Light Blue Plastic Barrier
Mekanism:PlasticFence:13, §dMagenta Plastic Barrier
Mekanism:PlasticFence:14, §6Orange Plastic Barrier
Mekanism:PlasticFence:15, §fWhite Plastic Barrier
Mekanism:SaltBlock, Salt Block
additionalrecipes:tempered_Obsidian, Tempered Obsidian
additionalrecipes:tempered_Glass, Tempered Glass
additionalrecipes:tempered_dark_Glass, Tempered Dark Glass
ae2stuff:Encoder, Pattern Encoder
ae2stuff:Grower, Crystal Growth Chamber
ae2stuff:Inscriber, Advanced Inscriber
ae2stuff:Wireless, Wireless Connector
aether:aetherPortal, Aether Portal
aether:holystone:1, Holystone
aether:holystone:3, Mossy Holystone
aether:aetherDirt, Aether Dirt
aether:aetherGrass, Aether Grass
aether:enchantedGrass, Enchanted Grass
aether:enchantedAetherGrass, Enchanted Aether Grass
aether:quicksoil, Quicksoil
aether:icestone, Icestone
aether:aercloud:0, Cold Aercloud
aether:aercloud:1, Blue Aercloud
aether:aercloud:2, Golden Aercloud
aether:aercloud:3, Green Aercloud
aether:aercloud:4, Storm Aercloud
aether:purpleAercloud:0, Purple Aercloud
aether:aerogel, Aerogel
aether:altar, Altar of Light
aether:incubator, Incubator
aether:aetherLog:0, Skyroot Log
aether:aetherLog:2, Golden Oak Log
aether:skyrootPlank, Skyroot Plank
aether:greenSkyrootLeaves, Green Skyroot Leaves
aether:goldenOakLeaves, Golden Oak Leaves
aether:greenSkyrootSapling, Green Skyroot Sapling
aether:goldenOakSapling, Golden Oak Sapling
aether:ambrosiumOre, Ambrosium Ore
aether:ambrosiumTorch, Ambrosium Torch
aether:zaniteOre, Zanite Ore
aether:gravititeOre, Gravitite Ore
aether:enchantedGravitite, Enchanted Gravitite
aether:trap:0, tile.trap0.name
aether:skyrootChestMimic, Skyroot Chest Mimic
aether:carvedStone:0, Carved Stone
aether:sentryStone:0, Sentry Stone
aether:divineCarvedStone, Divine Carved Stone
aether:divineSentryStone, Divine Sentry Stone
aether:whiteGoldPillar:0, White Gold Pillar
aether:whiteGoldPillar:2, White Gold Carved Pillar
aether:labyrinthPillar:0, Labyrinth Pillar
aether:labyrinthPillar:2, Carved Labyrinth Pillar
aether:zaniteBlock, Zanite Block
aether:quicksoilGlass, Quicksoil Glass
aether:whiteRose, White Rose
aether:purpleFlower, Purple Flower
aether:present, Present
aether:berryBush, Berry Bush
aether:berryBushStem, Berry Bush Stem
aether:holystoneStairs, Holystone Stairs
aether:mossyHolystoneStairs, Mossy Holystone Stairs
aether:icestoneStairs, Icestone Stairs
aether:skyrootStairs, Skyroot Stairs
aether:carvedStoneStairs, Carved Stone Stairs
aether:holystoneWall, Holystone Wall
aether:mossyHolystoneWall, Mossy Holystone Wall
aether:icestoneWall, Icestone Wall
aether:skyrootFence, Skyroot Fence
aether:carvedStoneWall, Carved Stone Wall
aether:holystoneBrick, Holystone Brick
aether:skyrootLogWall, Skyroot Log Wall
aether:tallAetherGrass, Tall Aether Grass
aether:darkBlueSkyrootLeaves, Dark Blue Skyroot Leaves
aether:blueSkyrootLeaves, Blue Skyroot Leaves
aether:blueSkyrootSapling, Blue Skyroot Sapling
aether:skyrootChest, Skyroot Chest
aether:sliderLabyrinthDoor, Slider Labyrinth Door
aether:purpleCrystalLeaves, Purple Crystal Leaves
aether:purpleFruitLeaves, Purple Fruit Leaves
aether:purpleCrystalSapling, Purple Crystal Sapling
aether:orangeTree, Orange Tree
aether:continuumOre, Continuum Ore
aether:darkBlueSkyrootSapling, Dark Blue Skyroot Sapling
aether:skyrootCraftingTable, Skyroot Crafting Table
aether:bloodMossHolystone, Blood Moss Holystone
aether:divineCarvedStoneWall, Divine Carved Stone Wall
aether:divineCarvedStoneStairs, Divine Carved Stone Stairs
aether:coldFire, tile.coldFire.name
aether:sliderLabyrinthTotem, Slider Labyrinth Totem
aether:skyrootDoor, tile.skyrootDoor.name
aether:skyrootFenceGate, Skyroot Fence Gate
aether:aerogelStairs, Aerogel Stairs
aether:sentryStoneStairs, Sentry Stone Stairs
aether:holystoneBrickStairs, Holystone Brick Stairs
aether:divineSentryStoneStairs, Divine Sentry Stone Stairs
aether:aerogelWall, Aerogel Wall
aether:sentryStoneWall, Sentry Stone Wall
aether:holystoneBrickWall, Holystone Brick Wall
aether:divineSentryStoneWall, Divine Sentry Stone Wall
aether:skyrootLadder, Skyroot Ladder
aether:skyrootSign, tile.skyrootSign.name
aether:skyrootSignWall, tile.skyrootSignWall.name
aether:skyrootBed, tile.skyrootBed.name
aether:protectorBlock, Protection Stone
aether:skyrootTrapDoor, Skyroot Trap Door
aether:skyrootBookshelf, Skyroot Bookshelf
aether:quicksoilGlassPane, Quicksoil Glass Pane
aether:holystoneFurnace, Holystone Furnace
aether:holystoneFurnaceBurning, tile.holystoneFurnaceBurning.name
aether:mobSpawner, Monster Spawner
aether:presentNew, Present
aether:holystoneHeadstone, Holystone Headstone
aether:holystoneKeystone, Holystone Keystone
aether:holystoneHighlight, Holystone Highlight
aether:tile.skyrootSingleSlab:0, Skyroot Slab
aether:tile.skyrootDoubleSlab:0, Skyroot Slab
aether:tile.holystoneSingleSlab:0, Holystone Slab
aether:tile.holystoneDoubleSlab:0, Holystone Slab
aether:tile.mossyHolystoneSingleSlab:0, Mossy Holystone Slab
aether:tile.mossyHolystoneDoubleSlab:0, Mossy Holystone Slab
aether:tile.icestoneSingleSlab:0, Icestone Slab
aether:tile.icestoneDoubleSlab:0, Icestone Slab
aether:tile.holystoneBrickSingleSlab:0, Holystone Brick Slab
aether:tile.holystoneBrickDoubleSlab:0, Holystone Brick Slab
aether:tile.carvedStoneSingleSlab:0, Carved Stone Slab
aether:tile.carvedStoneDoubleSlab:0, Carved Stone Slab
aether:tile.sentryStoneSingleSlab:0, Sentry Stone Slab
aether:tile.sentryStoneDoubleSlab:0, Sentry Stone Slab
aether:tile.divineCarvedStoneSingleSlab:0, Divine Carved Stone Slab
aether:tile.divineCarvedStoneDoubleSlab:0, Divine Carved Stone Slab
aether:tile.divineSentryStoneSingleSlab:0, Divine Sentry Stone Slab
aether:tile.divineSentryStoneDoubleSlab:0, Divine Sentry Stone Slab
aether:tile.aerogelSingleSlab:0, Aerogel Slab
aether:tile.aerogelDoubleSlab:0, Aerogel Slab
AFSU:AFSU, AFSU
AncientWarfare:engineering_station, tile.engineering_station.name
AncientWarfare:research_station, tile.research_station.name
AncientWarfareAutomation:civic_quarry, Quarry
AncientWarfareAutomation:civic_forestry, Tree Farm
AncientWarfareAutomation:civic_crop_farm, Crop Farm
AncientWarfareAutomation:civic_mushroom_farm, Mushroom Farm
AncientWarfareAutomation:civic_animal_farm, Animal Farm
AncientWarfareAutomation:civic_fish_farm, Fish Farm
AncientWarfareAutomation:civic_reed_farm, Reed Farm
AncientWarfareAutomation:civic_warehouse, Warehouse Control Block
AncientWarfareAutomation:warehouse_storage:0, Small Warehouse Storage
AncientWarfareAutomation:warehouse_storage:1, Medium Warehouse Storage
AncientWarfareAutomation:warehouse_storage:2, Large Warehouse Storage
AncientWarfareAutomation:warehouse_interface, Warehouse Interface
AncientWarfareAutomation:warehouse_crafting_station, Warehouse Crafting Station
AncientWarfareAutomation:warehouse_stock_viewer, Warehouse Stock Viewer
AncientWarfareAutomation:civic_auto_crafting, tile.civic_auto_crafting.name
AncientWarfareAutomation:mailbox, Mailbox
AncientWarfareAutomation:flywheel:0, Light Flywheel Controller
AncientWarfareAutomation:flywheel:1, Medium Flywheel Controller
AncientWarfareAutomation:flywheel:2, Heavy Flywheel Controller
AncientWarfareAutomation:flywheel_storage:0, Light Flywheel Energy Storage
AncientWarfareAutomation:flywheel_storage:1, Medium Flywheel Energy Storage
AncientWarfareAutomation:flywheel_storage:2, Heavy Flywheel Energy Storage
AncientWarfareAutomation:torque_conduit:0, Light Torque Junction
AncientWarfareAutomation:torque_conduit:1, Medium Torque Junction
AncientWarfareAutomation:torque_conduit:2, Heavy Torque Junction
AncientWarfareAutomation:torque_shaft:0, Light Torque Shaft
AncientWarfareAutomation:torque_shaft:1, Medium Torque Shaft
AncientWarfareAutomation:torque_shaft:2, Heavy Torque Shaft
AncientWarfareAutomation:torque_distributor:0, Light Torque Distributor
AncientWarfareAutomation:torque_distributor:1, Medium Torque Distributor
AncientWarfareAutomation:torque_distributor:2, Heavy Torque Distributor
AncientWarfareAutomation:torque_generator_sterling:0, Sterling Generator
AncientWarfareAutomation:torque_generator_waterwheel:0, Waterwheel Generator
AncientWarfareAutomation:hand_cranked_engine:0, Hand Cranked Torque Generator
AncientWarfareAutomation:windmill_blade, Windmill Blade
AncientWarfareAutomation:windmill_control:0, Windmill Controller
AncientWarfareAutomation:chunk_loader_simple, Simple Chunk Loader
AncientWarfareAutomation:chunk_loader_deluxe, Deluxe Chunk Loader
AncientWarfareNpc:town_hall, Town Hall
AncientWarfareStructure:advanced_spawner, Advanced Monster Spawner
AncientWarfareStructure:gate_proxy, tile.gate_proxy.name
AncientWarfareStructure:drafting_station, Drafting Station
AncientWarfareStructure:structure_builder_ticked, Survival Structure Builder
AncientWarfareStructure:sound_block, tile.sound_block.name
arcane_engineering:destabilizer, Node Destabilizer
arcanearteries:arcanearteries manaRune, Botanical Rune
arcanearteries:arcanearteries thaumicRune, Thaumic Rune
ArchimedesShipsPlus:marker, Ship's Helm
ArchimedesShipsPlus:floater, Floater
ArchimedesShipsPlus:balloon:0, Air Balloon
ArchimedesShipsPlus:balloon:1, Orange Air Balloon
ArchimedesShipsPlus:balloon:2, Magenta Air Balloon
ArchimedesShipsPlus:balloon:3, Light Blue Air Balloon
ArchimedesShipsPlus:balloon:4, Yellow Air Balloon
ArchimedesShipsPlus:balloon:5, Lime Air Balloon
ArchimedesShipsPlus:balloon:6, Pink Air Balloon
ArchimedesShipsPlus:balloon:7, Gray Air Balloon
ArchimedesShipsPlus:balloon:8, Silver Air Balloon
ArchimedesShipsPlus:balloon:9, Cyan Air Balloon
ArchimedesShipsPlus:balloon:10, Purple Air Balloon
ArchimedesShipsPlus:balloon:11, Blue Air Balloon
ArchimedesShipsPlus:balloon:12, Brown Air Balloon
ArchimedesShipsPlus:balloon:13, Green Air Balloon
ArchimedesShipsPlus:balloon:14, Red Air Balloon
ArchimedesShipsPlus:balloon:15, Black Air Balloon
ArchimedesShipsPlus:gauge:0, Measurement Gauges
ArchimedesShipsPlus:gauge:1, Measurement Gauges
ArchimedesShipsPlus:seat, Passenger Seat
ArchimedesShipsPlus:buffer, Shore Buffer
ArchimedesShipsPlus:stickyBuffer, Sticky Buffer
ArchimedesShipsPlus:engine, Steam Engine
ArchimedesShipsPlus:crate_wood, Wooden Crate
ArchimedesShipsPlus:anchorPoint, Anchor Point
ArchitectureCraft:sawbench, Architect's Sawbench
ArchitectureCraft:shape, Architectural Block
Aroma1997sDimension:aromicPortal, Mining Portal
Aroma1997sDimension:portalFrame, Portal Frame
Aroma1997sDimension:stickyOre, Sticky Ore
aura:magicRoad, Traveler's Bricks
aura:storageBookshelfCoordinator, Bookshelf Coordinator
aura:monitor, Monitor
aura:auraNode, Aura Node
aura:auraNodepump, Burning Aura Pump
aura:auraNodeblack, Aura Manipulator: Black
aura:auraNodeconserve, Conserving Aura Node
aura:auraNodecapacitor, Aura Capacitor
aura:auraNodecraftingCenter, Vortex Controller
aura:auraNodecraftingPedestal, Vortex Pedestal
aura:auraNodeorange, Aura Manipulator: Orange
aura:auraNodepumpAlt, Alternating Burning Aura Pump
aura:auraNodepumpProjectile, Projectile Aura Pump
aura:auraNodepumpFall, Momentum Aura Pump
aura:auraNodepumpLight, Illumination Aura Pump
aura:auraNodepumpRedstone, Redstone Aura Pump
aura:auraNodepumpProjectileAlt, Alternating Projectile Aura Pump
aura:auraNodepumpFallAlt, Alternating Momentum Aura Pump
aura:auraNodepumpCreative, Creative Pump (Creative Only)
aura:auraNodepumpLightAlt, Alternating Illumination Aura Pump
aura:auraNodepumpRedstoneAlt, Alternating Redstone Aura Pump
aura:auraNodeflux, Fluxing Node
aura:storageBookshelf, Storage Bookshelf
aura:fairyTorch, tile.fairyTorch.name
aura:trampoline, Rebounding Enigma
aura:consumerBlockfurnace, Cascading Smelter
aura:consumerBlockplant, Cascading Grower
aura:consumerBlockore, Cascading Processor
aura:consumerBlockloot, Cascading Looter
aura:consumerBlockmob, Cascading Spawner
aura:consumerBlockangel, Cascading Synthesizer
aura:consumerBlocknether, Ritual of the Nether
aura:consumerBlockenchant, Kaleidoscopic Enchanter
aura:consumerBlockpotion, Cascading Brewer
aura:consumerBlockdye, Cascading Colorer
aura:consumerBlockoreAdv, Prismatic Processor
aura:consumerBlockminer, Cascading Miner
aura:consumerBlockfish, Cascading Fisher
aura:consumerBlockend, Ritual of the End
aura:fortifiedDirt, Fortified Dirt
aura:fortifiedWood, Fortified Planks
aura:fortifiedGlass, Fortified Glass
aura:fortifiedCobblestone, Fortified Cobblestone
aura:fortifiedStone, Fortified Stone
aura:fortifiedObsidian, Fortified Obsidian
Automagy:blockRedcrystal, Redcrystal
Automagy:blockRedcrystalAmp, Amplified Redcrystal
Automagy:blockRedcrystalDim, Dim Redcrystal
Automagy:blockRedcrystalDense, Dense Redcrystal
Automagy:blockRedcrystalRes, Resonating Redcrystal
Automagy:blockRedcrystalMerc, Mercurial Redcrystal
Automagy:blockTorchInversion, Redstone Inversion Torch
Automagy:blockTorchInversion_off, Redstone Inversion Torch
Automagy:blockRemoteComparator, Remote Comparator
Automagy:blockVisReader, Vis Reader
Automagy:blockTally, Tally Box
Automagy:blockHourglass, Hourglass
Automagy:blockHourglassMagic, Magic Hourglass
Automagy:blockGreedyChest, Greedy Chest
Automagy:blockEagerChest, Eager Chest
Automagy:blockTenaciousChest, Tenacious Chest
Automagy:blockHungryMaw, Hungry Maw
Automagy:blockFinicalMaw, Finical Maw
Automagy:blockGolemInhibitor, Golemic Inhibitor
Automagy:blockEntitySignal, Signum Entia
Automagy:blockEssentiaLocus, Essentia Locus
Automagy:blockEssentiaLocusAggregator, Essentia Aggregator
Automagy:blockInventarium, Inventarium Core
Automagy:blockUnseenScribe, Unseen Scribe
Automagy:blockScribePointer, Scrivener's Oculus
Automagy:blockGolemTaskmaster, Golemic Taskmaster
Automagy:blockReqTome, Requisition Tome
Automagy:blockBookshelfEnchanted:0, Enchanting Bookshelf
Automagy:blockBookshelfEnchanted:1, Ensorcelled Bookshelf
Automagy:blockTranslucent:0, Glowing Amber
Automagy:blockTranslucent:1, Glowing Amber Bricks
Automagy:blockMetalGlow:0, Memory Block
Automagy:blockNethermind, Nethermind
Automagy:blockRunedObsidian, Runed Obsidian
Automagy:blockNetherRune:0, Runed Obsidian (Rock)
Automagy:blockNetherRune:1, Runed Obsidian (Sea)
Automagy:blockNetherRune:2, Runed Obsidian (Crystal)
Automagy:blockNetherRune:3, Runed Obsidian (Light)
Automagy:blockNetherRune:4, Runed Obsidian (Soul)
Automagy:blockNetherRune:6, Runed Obsidian (Celerity)
Automagy:blockNetherRuneMob:0, Runed Obsidian (Zombie)
Automagy:blockNetherRuneMob:1, Runed Obsidian (Blaze)
Automagy:blockNetherRuneMob:2, Runed Obsidian (Ghast)
Automagy:blockNetherRuneMob:3, Runed Obsidian (Skull)
Automagy:blockNetherRuneMob:4, Runed Obsidian (Slime)
Automagy:blockNetherRuneMob:5, Runed Obsidian (Bat)
Automagy:blockNetherRuneMob:6, Runed Obsidian (Wisp)
Automagy:blockMobLure, Siren's Lure
Automagy:blockDimensionLure, Dimensional Lure
Automagy:blockGolemWorkbench, Golem's Workbench
Automagy:blockThirstyTank, Thirsty Tank
Automagy:blockBoiler, Alchemical Boiler
Automagy:blockCreativeJar:3, Infinity Jar
Automagy:blockAmnesiac, Amnesiac's Stone
Automagy:blockXPStone, Soul Stone
Automagy:blockXPJar, Jar of Enchanter's Concentrate
Automagy:blockThaumostaticPylon:0, Thaumostatic Pylon
Automagy:blockThaumostaticPylon:1, Thaumostatic Controller
Automagy:blockMirrorAlt:0, Melding Mirror
Automagy:blockMirrorMultiDest:0, Dispersing Mirror
Automagy:blockFluidMilk, Milk
Automagy:blockFluidMushroom, Mushroom Soup
Automagy:blockFluidVishroom, Vishroom Soup
Automagy:blockPhenomenon, Phenomenon
Automagy:blockThaumostaticSpire, Thaumostatic Spire
Automagy:blockTallyLensWorld, Tally Box (Lens: Unbound)
Automagy:blockTallyLensDrops, Tally Box (Lens: Yield)
AutomatedRedstone:tile.programmer, Programmer
AutomatedRedstone:tile.assembler, Circuit Assembler
AutomatedRedstone:tile.circuit, Redstone Circuit
AutomatedRedstone:tile.rsp8bit, 8-bit solid Redstone-Wire
AutomatedRedstone:tile.rsp1bit:0, 1-bit solid Redstone-Wire
AutomatedRedstone:tile.rsp1bit:2, 1-bit Redstone-Wire input
AutomatedRedstone:tile.rsp1bit:1, 1-bit Redstone-Wire output
AutomatedRedstone:tile.lever8bit, 8-bit Lever
AutomatedRedstone:tile.display8bit, 8-bit Display
AutomatedRedstone:tile.rsInterface, 8-bit-Port Redstone Adapter
AutomatedRedstone:tile.wireless8bit, Interdimensional 8-bit wireless Port
AutomatedRedstone:tile.invReader, 8-bit Inventory Sensor
AutomatedRedstone:tile.itemTranslocator, 8-bit Item Translocator
AutomatedRedstone:tile.invConnector, Inventory Connector
autopackager:packagerBlock, Recipe Packager
avaritiaddons:CompressedChest, Compressed Chest
avaritiaddons:InfinityChest, Infinity Chest
avaritiaddons:ExtremeAutoCrafter, Dire Autocrafting Table
BetterChests:betterChest, tile.betterchests:betterChest.name
BiblioCraft:tile.BiblioFramedChest:0, Framed Chest
BiblioCraft:BiblioPaneler:0, Oak Furniture Paneler
BiblioCraft:BiblioPaneler:1, Spruce Furniture Paneler
BiblioCraft:BiblioPaneler:2, Birch Furniture Paneler
BiblioCraft:BiblioPaneler:3, Jungle Furniture Paneler
BiblioCraft:BiblioPaneler:4, Acacia Furniture Paneler
BiblioCraft:BiblioPaneler:5, Dark Oak Furniture Paneler
BiblioCraft:BiblioPaneler:6, Framed Furniture Paneler
BiblioCraft:BiblioClipboard, tile.BiblioClipboard.name
BiblioCraft:BiblioTypewriter:0, White Typewriter
BiblioCraft:BiblioTypewriter:1, Light Gray Typewriter
BiblioCraft:BiblioTypewriter:2, Gray Typewriter
BiblioCraft:BiblioTypewriter:3, Black Typewriter
BiblioCraft:BiblioTypewriter:4, Red Typewriter
BiblioCraft:BiblioTypewriter:5, Orange Typewriter
BiblioCraft:BiblioTypewriter:6, Yellow Typewriter
BiblioCraft:BiblioTypewriter:7, Lime Typewriter
BiblioCraft:BiblioTypewriter:8, Green Typewriter
BiblioCraft:BiblioTypewriter:9, Cyan Typewriter
BiblioCraft:BiblioTypewriter:10, Light Blue Typewriter
BiblioCraft:BiblioTypewriter:11, Blue Typewriter
BiblioCraft:BiblioTypewriter:12, Purple Typewriter
BiblioCraft:BiblioTypewriter:13, Magenta Typewriter
BiblioCraft:BiblioTypewriter:14, Pink Typewriter
BiblioCraft:BiblioTypewriter:15, Brown Typewriter
BiblioCraft:BiblioClock:0, Oak Clock
BiblioCraft:BiblioClock:1, Spruce Clock
BiblioCraft:BiblioClock:2, Birch Clock
BiblioCraft:BiblioClock:3, Jungle Clock
BiblioCraft:BiblioClock:4, Acacia Clock
BiblioCraft:BiblioClock:5, Dark Oak Clock
BiblioCraft:BiblioClock:6, Framed Clock
BiblioCraft:BiblioFlatPainting:0, Oak Painting Frame
BiblioCraft:BiblioFlatPainting:1, Spruce Painting Frame
BiblioCraft:BiblioFlatPainting:2, Birch Painting Frame
BiblioCraft:BiblioFlatPainting:3, Jungle Painting Frame
BiblioCraft:BiblioFlatPainting:4, Acacia Painting Frame
BiblioCraft:BiblioFlatPainting:5, Dark Oak Painting Frame
BiblioCraft:BiblioFlatPainting:6, Framed Painting Frame
BiblioCraft:BiblioSimplePainting:0, Oak Painting Frame
BiblioCraft:BiblioSimplePainting:1, Spruce Painting Frame
BiblioCraft:BiblioSimplePainting:2, Birch Painting Frame
BiblioCraft:BiblioSimplePainting:3, Jungle Painting Frame
BiblioCraft:BiblioSimplePainting:4, Acacia Painting Frame
BiblioCraft:BiblioSimplePainting:5, Dark Oak Painting Frame
BiblioCraft:BiblioSimplePainting:6, Framed Painting Frame
BiblioCraft:BiblioMiddlePainting:0, Oak Painting Frame
BiblioCraft:BiblioMiddlePainting:1, Spruce Painting Frame
BiblioCraft:BiblioMiddlePainting:2, Birch Painting Frame
BiblioCraft:BiblioMiddlePainting:3, Jungle Painting Frame
BiblioCraft:BiblioMiddlePainting:4, Acacia Painting Frame
BiblioCraft:BiblioMiddlePainting:5, Dark Oak Painting Frame
BiblioCraft:BiblioMiddlePainting:6, Framed Painting Frame
BiblioCraft:BiblioFancyPainting:0, Oak Painting Frame
BiblioCraft:BiblioFancyPainting:1, Spruce Painting Frame
BiblioCraft:BiblioFancyPainting:2, Birch Painting Frame
BiblioCraft:BiblioFancyPainting:3, Jungle Painting Frame
BiblioCraft:BiblioFancyPainting:4, Acacia Painting Frame
BiblioCraft:BiblioFancyPainting:5, Dark Oak Painting Frame
BiblioCraft:BiblioFancyPainting:6, Framed Painting Frame
BiblioCraft:BiblioBorderlessPainting:0, Oak Painting Frame
BiblioCraft:BiblioBorderlessPainting:1, Spruce Painting Frame
BiblioCraft:BiblioBorderlessPainting:2, Birch Painting Frame
BiblioCraft:BiblioBorderlessPainting:3, Jungle Painting Frame
BiblioCraft:BiblioBorderlessPainting:4, Acacia Painting Frame
BiblioCraft:BiblioBorderlessPainting:5, Dark Oak Painting Frame
BiblioCraft:BiblioBorderlessPainting:6, Framed Painting Frame
BiblioCraft:BiblioPaintPress, Painting Press
BiblioCraft:BiblioSwordPedestal:0, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:1, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:2, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:3, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:4, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:5, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:6, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:7, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:8, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:9, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:10, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:11, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:12, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:13, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:14, Sword Pedestal
BiblioCraft:BiblioSwordPedestal:15, Sword Pedestal
BiblioCraft:BiblioFancySign:0, Oak Fancy Sign
BiblioCraft:BiblioFancySign:1, Spruce Fancy Sign
BiblioCraft:BiblioFancySign:2, Birch Fancy Sign
BiblioCraft:BiblioFancySign:3, Jungle Fancy Sign
BiblioCraft:BiblioFancySign:4, Acacia Fancy Sign
BiblioCraft:BiblioFancySign:5, Dark Oak Fancy Sign
BiblioCraft:BiblioFancySign:6, Framed Fancy Sign
BiblioCraft:BiblioWorkbench:0, Oak Fancy Workbench
BiblioCraft:BiblioWorkbench:1, Spruce Fancy Workbench
BiblioCraft:BiblioWorkbench:2, Birch Fancy Workbench
BiblioCraft:BiblioWorkbench:3, Jungle Fancy Workbench
BiblioCraft:BiblioWorkbench:4, Acacia Fancy Workbench
BiblioCraft:BiblioWorkbench:5, Dark Oak Fancy Workbench
BiblioCraft:BiblioWorkbench:6, Framed Fancy Workbench
BiblioCraft:BiblioBell, Desk Bell
BiblioCraft:Bibliotheca:0, Oak Bookcase
BiblioCraft:Bibliotheca:1, Spruce Bookcase
BiblioCraft:Bibliotheca:2, Birch Bookcase
BiblioCraft:Bibliotheca:3, Jungle Bookcase
BiblioCraft:Bibliotheca:4, Acacia Bookcase
BiblioCraft:Bibliotheca:5, Dark Oak Bookcase
BiblioCraft:Bibliotheca:6, Framed Bookcase
BiblioCraft:BookcaseFilled:0, Oak Bookcase
BiblioCraft:BookcaseFilled:1, Spruce Bookcase
BiblioCraft:BookcaseFilled:2, Birch Bookcase
BiblioCraft:BookcaseFilled:3, Jungle Bookcase
BiblioCraft:BookcaseFilled:4, Acacia Bookcase
BiblioCraft:BookcaseFilled:5, Dark Oak Bookcase
BiblioCraft:BookcaseFilled:6, Framed Bookcase
BiblioCraft:BiblioPotionShelf:0, Oak Potion Shelf
BiblioCraft:BiblioPotionShelf:1, Spruce Potion Shelf
BiblioCraft:BiblioPotionShelf:2, Birch Potion Shelf
BiblioCraft:BiblioPotionShelf:3, Jungle Potion Shelf
BiblioCraft:BiblioPotionShelf:4, Acacia Potion Shelf
BiblioCraft:BiblioPotionShelf:5, Dark Oak Potion Shelf
BiblioCraft:BiblioPotionShelf:6, Framed Potion Shelf
BiblioCraft:BiblioShelf:0, Oak Shelf
BiblioCraft:BiblioShelf:1, Spruce Shelf
BiblioCraft:BiblioShelf:2, Birch Shelf
BiblioCraft:BiblioShelf:3, Jungle Shelf
BiblioCraft:BiblioShelf:4, Acacia Shelf
BiblioCraft:BiblioShelf:5, Dark Oak Shelf
BiblioCraft:BiblioShelf:6, Framed Shelf
BiblioCraft:BiblioRack:0, Oak Tool Rack
BiblioCraft:BiblioRack:1, Spruce Tool Rack
BiblioCraft:BiblioRack:2, Birch Tool Rack
BiblioCraft:BiblioRack:3, Jungle Tool Rack
BiblioCraft:BiblioRack:4, Acacia Tool Rack
BiblioCraft:BiblioRack:5, Dark Oak Tool Rack
BiblioCraft:BiblioRack:6, Framed Tool Rack
BiblioCraft:BiblioCase:0, Oak Case
BiblioCraft:BiblioCase:1, Spruce Case
BiblioCraft:BiblioCase:2, Birch Case
BiblioCraft:BiblioCase:3, Jungle Case
BiblioCraft:BiblioCase:4, Acacia Case
BiblioCraft:BiblioCase:5, Dark Oak Case
BiblioCraft:BiblioCase:6, Framed Case
BiblioCraft:BiblioLabel:0, Oak Wood Label
